industry,brand,content_type,hour,dayofweek,nbrhashtags,captionlength,followers,engagementRate
patisserie,mamie.karima,carousel,21,1,0,15,375335,0.0863228848894987
patisserie,mamie.karima,carousel,9,4,0,20,375335,0.0242450077930382
patisserie,mamie.karima,carousel,21,1,0,17,375335,0.1745107703784619
patisserie,mamie.karima,reel,19,6,2,147,375335,0.0796621684628398
patisserie,mamie.karima,photo,18,0,0,97,375335,0.0242450077930382
patisserie,mamie.karima,reel,20,2,0,48,375335,0.261899369896226
patisserie,mamie.karima,photo,20,4,0,16,375335,0.0967136025150865
patisserie,mamie.karima,carousel,13,2,0,32,375335,0.082060026376437
patisserie,mamie.karima,carousel,19,0,0,32,375335,0.1886314892029786
patisserie,mamie.karima,reel,21,6,4,1031,375335,0.0698043081513847
patisserie,mamie.karima,carousel,10,2,0,21,375335,0.0636764490388586
patisserie,mamie.karima,carousel,6,2,0,23,375335,0.3210465317649566
patisserie,mamie.karima,reel,19,3,0,144,375335,0.0575485899263324
patisserie,mamie.karima,carousel,5,2,0,724,375335,0.5898730467449079
patisserie,mamie.karima,carousel,15,1,0,13,375335,0.0319714388479624
patisserie,mamie.karima,carousel,19,2,0,17,375335,0.0847243129471005
patisserie,mamie.karima,carousel,13,2,0,26,375335,0.0841914556329678
patisserie,mamie.karima,carousel,18,2,0,0,375335,0.1611893375251442
patisserie,mamie.karima,carousel,11,1,0,17,375335,0.1140314652243995
patisserie,mamie.karima,reel,10,5,3,150,375335,0.1809050581480544
patisserie,mamie.karima,carousel,8,1,0,16,375335,0.0527528740991381
patisserie,mamie.karima,carousel,19,0,0,17,375335,0.1017757469993472
patisserie,mamie.karima,carousel,7,3,0,17,375335,0.146002904072362
patisserie,mamie.karima,carousel,9,4,0,27,375335,0.1190936097086602
patisserie,mamie.karima,carousel,9,6,0,0,375335,0.0450264430442138
patisserie,mamie.karima,photo,12,3,0,10,375335,0.004529287170128
patisserie,mamie.karima,carousel,13,5,0,42,375335,0.0370335833322232
patisserie,mamie.karima,carousel,8,4,0,16,375335,0.108436463426006
patisserie,mamie.karima,carousel,7,2,0,16,375335,0.0780635965204417
patisserie,mamie.karima,reel,11,5,0,0,375335,0.0668735929236548
patisserie,mamie.karima,carousel,7,1,0,39,375335,0.0546178746986025
patisserie,mamie.karima,carousel,9,1,0,28,375335,0.065541449638323
patisserie,mamie.karima,photo,8,1,0,22,375335,0.0679393075519202
patisserie,mamie.karima,carousel,7,4,0,42,375335,0.0532857314132708
patisserie,mamie.karima,reel,9,0,0,12,375335,0.0788628824916408
patisserie,mamie.karima,carousel,8,3,0,14,375335,0.0426285851306166
patisserie,mamie.karima,carousel,7,3,0,0,375335,0.0239785791359718
patisserie,mamie.karima,reel,9,2,0,30,375335,0.2166064981949458
patisserie,mamie.karima,carousel,19,0,0,17,375335,0.0322378675050288
patisserie,mamie.karima,reel,18,3,0,16,375335,0.0863228848894987
patisserie,mamie.karima,reel,9,6,0,28,375335,0.1177614664233284
patisserie,mamie.karima,reel,7,2,0,45,375335,0.0706035941225838
patisserie,mamie.karima,reel,12,5,0,30,375335,0.0924507440020248
patisserie,mamie.karima,reel,6,4,0,15,375335,0.0399642985599531
patisserie,mamie.karima,reel,18,6,0,31,375335,0.3887194106598106
patisserie,mamie.karima,reel,14,5,0,163,375335,0.5299265989049782
patisserie,mamie.karima,reel,18,5,8,97,375335,0.1742443417213955
patisserie,mamie.karima,reel,21,4,0,79,375335,0.0149200047957158
patisserie,mamie.karima,carousel,14,3,0,67,375335,0.0839250269759015
patisserie,mamie.karima,reel,22,3,2,26,375335,0.0359678687039578
patisserie,mamie.karima,carousel,9,0,0,50,375335,0.0239785791359718
patisserie,mamie.karima,reel,7,0,3,87,375335,0.0927171726590912
patisserie,mamie.karima,carousel,19,0,0,28,375335,0.1691821972371348
patisserie,mamie.karima,reel,21,2,2,761,375335,0.3937815551440713
patisserie,mamie.karima,carousel,19,0,0,39,375335,0.1606564802110114
patisserie,mamie.karima,carousel,14,6,0,85,375335,0.3580801150971798
patisserie,mamie.karima,carousel,9,0,0,0,375335,0.1590579082686133
patisserie,mamie.karima,carousel,18,1,0,0,375335,0.8754845671200394
patisserie,mamie.karima,carousel,18,1,0,19,375335,0.3055936696551081
patisserie,mamie.karima,carousel,15,5,0,20,375335,0.0215807212223746
patisserie,mamie.karima,carousel,9,5,0,13,375335,0.1126993219390677
patisserie,mamie.karima,carousel,14,4,0,0,375335,0.0988450317716173
patisserie,mamie.karima,carousel,19,6,0,58,375335,0.2046172086269599
patisserie,mamie.karima,carousel,12,4,0,30,375335,0.1753100563496609
patisserie,mamie.karima,reel,18,1,0,29,375335,0.3436929676155967
patisserie,mamie.karima,carousel,15,4,0,23,375335,0.2440486498727803
patisserie,mamie.karima,carousel,20,4,0,23,375335,0.0996443177428164
patisserie,mamie.karima,carousel,21,3,0,91,375335,0.2163400695378795
patisserie,mamie.karima,carousel,17,4,0,21,375335,0.2826808051474017
patisserie,mamie.karima,carousel,19,0,0,36,375335,0.1758429136637936
patisserie,mamie.karima,carousel,21,0,0,25,375335,0.2576365113831644
patisserie,mamie.karima,carousel,21,0,0,31,375335,0.5637630383524053
patisserie,mamie.karima,carousel,21,3,0,27,375335,0.0719357374079156
patisserie,mamie.karima,carousel,20,4,0,19,375335,0.1310828992766461
patisserie,mamie.karima,carousel,14,6,0,36,375335,0.2685600863228848
patisserie,mamie.karima,carousel,10,6,0,23,375335,0.0349021540756923
patisserie,mamie.karima,carousel,21,3,0,17,375335,0.1289514700201153
patisserie,mamie.karima,carousel,15,6,0,58,375335,0.1033743189417453
patisserie,mamie.karima,carousel,15,6,0,27,375335,0.2997322391996483
patisserie,mamie.karima,reel,21,0,0,0,375335,0.1713136264936656
patisserie,mamie.karima,reel,16,6,0,0,375335,0.2307272170194626
patisserie,mamie.karima,carousel,22,3,0,27,375335,0.9362303009311682
patisserie,mamie.karima,reel,14,6,0,37,375335,0.6263737727629984
patisserie,mamie.karima,carousel,20,4,0,12,375335,0.1771750569491254
patisserie,lamaisongourmandise,carousel,6,5,0,309,126482,0.0332063060356414
patisserie,lamaisongourmandise,carousel,9,4,0,171,126482,0.0221375373570942
patisserie,lamaisongourmandise,carousel,13,2,0,146,126482,0.0284625480305498
patisserie,lamaisongourmandise,carousel,9,0,0,140,126482,0.0166031530178207
patisserie,lamaisongourmandise,carousel,11,2,0,198,126482,0.0205562846887304
