brand,hour,is_weekend,followers,likes,comments,engagementRate,brand_avg_engagement,relative_engagement,posting_frequency,nbrhashtags,captionlength,ind_BEAUTY,ind_FASHION,ind_HOTELS,ind_PATISSERIE,ind_RESTAURANTS,ctype_carousel,ctype_image,ctype_reel,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6
patisseriemasmoudi,13,1,146846,727.0,34.0,0.5182299824305735,0.20387926383119384,2.541847428189916,1.5730337078651686,5,397,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisseriemasmoudi,11,0,146846,357.0,1.0,0.24379281696471133,0.20387926383119384,1.1957705378344154,1.5730337078651686,0,215,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
patisseriemasmoudi,13,0,146846,80.0,1.0,0.05515982730207156,0.20387926383119384,0.2705514345379543,1.5730337078651686,0,94,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
patisseriemasmoudi,9,0,146846,40.0,8.0,0.03268730506789426,0.20387926383119384,0.16032677602249146,1.5730337078651686,0,152,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,12,0,146846,39.0,1.0,0.027239420889911877,0.20387926383119384,0.13360564668540953,1.5730337078651686,0,83,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
patisseriemasmoudi,8,0,146846,46.0,0.0,0.03132533402339866,0.20387926383119384,0.15364649368822098,1.5730337078651686,0,115,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
patisseriemasmoudi,10,0,146846,116.0,1.0,0.07967530610299225,0.20387926383119384,0.39079651655482295,1.5730337078651686,0,63,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
patisseriemasmoudi,14,0,146846,45.0,0.0,0.030644348501150866,0.20387926383119384,0.15030635252108573,1.5730337078651686,0,110,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,18,0,146846,0.0,2.0,0.0031887662110490207,0.20387926383119384,0.015640463630912593,1.5730337078651686,0,34,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
patisseriemasmoudi,14,0,146846,40.0,0.0,0.027239420889911877,0.20387926383119384,0.13360564668540953,1.5730337078651686,0,82,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
patisseriemasmoudi,13,1,146846,447.0,17.0,0.31597728232297784,0.20387926383119384,1.5498255015507507,1.5730337078651686,5,560,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisseriemasmoudi,9,0,146846,533.0,0.0,0.3629652833580758,0.20387926383119384,1.7802952420830822,1.5730337078651686,0,106,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
patisseriemasmoudi,10,1,146846,16.0,0.0,0.010895768355964753,0.20387926383119384,0.053442258674163814,1.5730337078651686,0,184,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
patisseriemasmoudi,10,0,146846,118.0,0.0,0.08035629162524005,0.20387926383119384,0.39413665772195816,1.5730337078651686,0,112,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
patisseriemasmoudi,12,1,146846,1641.0,3.0,1.1195401985753783,0.20387926383119384,5.491192078770332,1.5730337078651686,0,135,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisseriemasmoudi,18,0,146846,95.0,2.0,0.0660555956580363,0.20387926383119384,0.3239936932121181,1.5730337078651686,0,146,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
patisseriemasmoudi,9,0,146846,193.0,0.0,0.13143020579382483,0.20387926383119384,0.644647245257101,1.5730337078651686,0,257,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
patisseriemasmoudi,11,0,146846,267.0,7.0,0.1865900330958964,0.20387926383119384,0.9151986797950554,1.5730337078651686,0,139,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,12,0,146846,309.0,19.0,0.2233632512972774,0.20387926383119384,1.0955663028203582,1.5730337078651686,5,562,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
patisseriemasmoudi,14,1,146846,467.0,47.0,0.3500265584353677,0.20387926383119384,1.7168325599075127,1.5730337078651686,5,628,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,17,1,146846,391.0,22.0,0.2812470206883402,0.20387926383119384,1.3794783020268535,1.5730337078651686,0,553,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
patisseriemasmoudi,18,0,146846,51.0,1.0,0.03541124715688544,0.20387926383119384,0.1736873406910324,1.5730337078651686,0,129,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
patisseriemasmoudi,19,0,146846,54.0,1.0,0.037454203723628836,0.20387926383119384,0.18370776419243812,1.5730337078651686,5,331,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
patisseriemasmoudi,18,0,146846,49.0,1.0,0.03404927611238985,0.20387926383119384,0.16700705835676194,1.5730337078651686,5,150,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,14,1,146846,44.0,1.0,0.030644348501150866,0.20387926383119384,0.15030635252108573,1.5730337078651686,5,142,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
patisseriemasmoudi,17,1,146846,43.0,2.0,0.030644348501150866,0.20387926383119384,0.15030635252108573,1.5730337078651686,5,228,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisseriemasmoudi,18,0,146846,35.0,0.0,0.023834493278672896,0.20387926383119384,0.11690494084973335,1.5730337078651686,5,97,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,15,0,146846,212.0,3.0,0.14641188728327637,0.20387926383119384,0.7181303509340763,1.5730337078651686,5,194,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,18,0,146846,280.0,6.0,0.19476185936286994,0.20387926383119384,0.9552803738006782,1.5730337078651686,5,271,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,17,0,146846,82.0,0.0,0.05584081282431935,0.20387926383119384,0.27389157570508954,1.5730337078651686,0,225,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,18,0,146846,164.0,5.0,0.1150865532598777,0.20387926383119384,0.5644838572458554,1.5730337078651686,5,175,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
patisseriemasmoudi,20,0,146846,101.0,2.0,0.07014150879152309,0.20387926383119384,0.3440345402149295,1.5730337078651686,5,168,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
patisseriemasmoudi,20,0,146846,75.0,3.0,0.05311687073532817,0.20387926383119384,0.26053101103654863,1.5730337078651686,0,96,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
patisseriemasmoudi,12,1,146846,74.0,1.0,0.05107391416858478,0.20387926383119384,0.25051058753514294,1.5730337078651686,5,291,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
patisseriemasmoudi,19,0,146846,47.0,1.0,0.03268730506789426,0.20387926383119384,0.16032677602249146,1.5730337078651686,5,253,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
patisseriemasmoudi,19,0,146846,165.0,0.0,0.1123626111708865,0.20387926383119384,0.5511232925773143,1.5730337078651686,5,287,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,17,1,146846,35.0,0.0,0.023834493278672896,0.20387926383119384,0.11690494084973335,1.5730337078651686,4,179,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
patisseriemasmoudi,13,1,146846,127.0,0.0,0.08648516132547021,0.20387926383119384,0.42419792822617525,1.5730337078651686,5,243,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,17,0,146846,117.0,1.0,0.08035629162524005,0.20387926383119384,0.39413665772195816,1.5730337078651686,5,223,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
patisseriemasmoudi,22,0,146846,30.0,0.0,0.02042956566743391,0.20387926383119384,0.10020423501405716,1.5730337078651686,5,168,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
patisseriemasmoudi,19,0,146846,49.0,1.0,0.03404927611238985,0.20387926383119384,0.16700705835676194,1.5730337078651686,5,202,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
patisseriemasmoudi,16,0,146846,48.0,0.0,0.03268730506789426,0.20387926383119384,0.16032677602249146,1.5730337078651686,5,298,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
